ID,X,Y,Elevation,Slope,Population,Land_cover,Road_dist,River_flow,Protected_area
2574,220900.00320529932,8142998.190925509,386,4.107985,0.0,114,77.39120929770397,,False
2575,221900.00320529932,8142998.190925509,373,4.522784,0.0,114,739.6327386682154,,False
2576,222900.00320529932,8142998.190925509,345,4.6208386,0.0,114,1402.3245045887222,,False
2577,223900.00320529932,8142998.190925509,345,4.518232,0.0,114,2204.9777194703797,,False
2578,224900.00320529932,8142998.190925509,348,4.270541,0.0,114,3022.7713062178186,,False
2579,225900.00320529932,8142998.190925509,358,4.114212,0.0,114,3530.2103201177697,,False
2580,226900.00320529932,8142998.190925509,350,4.345063,0.0,114,2531.4161077396225,,False
2581,227900.00320529932,8142998.190925509,359,5.4399037,0.0,114,1534.1053147549737,,False
2582,228900.00320529932,8142998.190925509,375,4.941585,0.0,114,538.0637302714545,,False
2583,229900.00320529932,8142998.190925509,369,4.150271,0.0,114,334.1223747967561,,False
2584,230900.00320529932,8142998.190925509,367,4.128317,0.0,114,1203.270558745865,,False
2585,231900.00320529932,8142998.190925509,357,4.634984,0.0,114,1435.6805376221673,,False
2586,232900.00320529932,8142998.190925509,337,4.6765585,0.0,114,1250.6079139204037,,False
2587,233900.00320529932,8142998.190925509,316,4.034244,0.0,114,1251.3889126642887,,False
2588,234900.00320529932,8142998.190925509,302,3.8687556,0.0,114,1220.9227420921625,,False
2589,235900.00320529932,8142998.190925509,306,3.792469,0.0,124,346.6214298326228,,False
2590,236900.00320529932,8142998.190925509,303,3.5470314,0.0,114,529.184607400548,,False
2591,237900.00320529932,8142998.190925509,295,2.9003625,0.0,114,246.33633322689317,,False
2592,238900.00320529932,8142998.190925509,301,3.4427612,0.0,114,353.643255342193,,False
2593,239900.00320529932,8142998.190925509,307,3.2888446,0.0,126,201.62254208538448,,False
2594,240900.00320529932,8142998.190925509,305,3.330043,0.0,126,767.0061316337734,,False
2595,241900.00320529932,8142998.190925509,298,3.2945554,0.0,124,191.23329454607176,,False
2596,242900.00320529932,8142998.190925509,290,3.2726908,0.0,114,925.9806817676823,,False
2597,243900.00320529932,8142998.190925509,281,5.466661,0.0,126,1917.892143231975,,False
2598,244900.00320529932,8142998.190925509,266,4.404975,0.0,114,2550.1064824919686,,False
2599,245900.00320529932,8142998.190925509,253,3.3408694,0.0,114,2739.7754510040445,,False
2600,246900.00320529932,8142998.190925509,248,3.2843907,0.0,114,3241.687251561284,,False
2601,247900.00320529932,8142998.190925509,243,2.919046,0.0,114,3938.362978693747,,False
2602,248900.00320529932,8142998.190925509,235,3.1726587,0.0,114,4744.7728783321145,,False
2603,249900.00320529932,8142998.190925509,234,3.4075737,0.0,114,5613.825467715091,,False
2604,250900.00320529932,8142998.190925509,239,3.2048724,0.0,114,5801.255744699082,,False
2605,251900.00320529932,8142998.190925509,227,3.0470462,0.0,114,5663.30941770328,,False
2606,252900.00320529932,8142998.190925509,216,3.4926064,0.0,114,5681.533642859365,,False
2607,253900.00320529932,8142998.190925509,213,3.863559,0.0,114,5381.208931525927,,False
2608,254900.00320529932,8142998.190925509,218,4.202305,0.0,114,4937.00127324599,,False
2609,255900.00320529932,8142998.190925509,227,3.933353,0.0,114,4658.858028684969,,False
2610,256900.00320529932,8142998.190925509,227,3.603943,0.0,114,3999.555923615454,,False
2611,257900.00320529932,8142998.190925509,225,3.9136302,0.0,114,3042.1133780310306,,False
2612,258900.00320529932,8142998.190925509,240,4.247776,0.0,114,2124.255169103577,,False
2613,259900.00320529932,8142998.190925509,238,4.72495,0.0,114,1330.5886825503837,,False
2614,260900.00320529932,8142998.190925509,227,4.0802,0.0,114,951.4214163848801,,False
2615,261900.00320529932,8142998.190925509,219,3.9208608,0.0,114,37.579534723137286,,False
2616,262900.0032052993,8142998.190925509,208,3.8130927,0.0,124,735.7293441309323,,False
2617,263900.0032052993,8142998.190925509,207,4.029844,0.0,20,101.09407966259043,,False
2618,264900.0032052993,8142998.190925509,210,4.0276036,0.0,114,741.7793441100443,,False
2619,265900.0032052993,8142998.190925509,215,4.114862,0.0,124,921.0451234188232,,False
2620,266900.0032052993,8142998.190925509,225,3.9338918,0.0,126,17.28540270671771,,False
2621,267900.0032052993,8142998.190925509,216,4.189883,0.0,20,960.378215400855,,False
2622,268900.0032052993,8142998.190925509,205,4.217735,0.0,126,379.2463307076919,,False
2623,269900.0032052993,8142998.190925509,211,3.6565554,0.0,126,40.026489739997054,,False
2624,270900.0032052993,8142998.190925509,206,3.5103948,0.0,116,615.4662392775302,,False
2625,271900.0032052993,8142998.190925509,192,3.2819583,0.0,124,1544.0522330055067,,False
2626,272900.0032052993,8142998.190925509,174,2.7814777,0.0,114,2518.826885225245,,False
2627,273900.0032052993,8142998.190925509,169,3.0368607,0.0,114,3507.8313039850887,,False
2628,274900.0032052993,8142998.190925509,166,3.9316695,0.0,126,4247.954183105325,,False
2629,275900.0032052993,8142998.190925509,165,5.050711,0.0,126,4789.5289061935555,,False
2630,276900.0032052993,8142998.190925509,151,5.109162,0.0,126,5251.202007220569,,False
2631,277900.0032052993,8142998.190925509,146,4.670747,0.0,126,4889.548700263887,,False
2632,278900.0032052993,8142998.190925509,152,4.645292,0.0,124,4278.640040676894,,False
2633,279900.0032052993,8142998.190925509,144,3.9139793,0.0,126,3353.7788014042435,,False
2634,280900.0032052993,8142998.190925509,133,3.6138663,0.0,126,2487.750771241643,,False
2635,281900.0032052993,8142998.190925509,125,3.9638944,0.0,126,1589.998739238448,,False
2636,282900.0032052993,8142998.190925509,133,3.2094002,0.0,126,687.1929675598487,,False
2637,283900.0032052993,8142998.190925509,133,3.1185977,0.0,40,645.2692140088262,,False
2638,284900.0032052993,8142998.190925509,128,3.3587253,0.0,40,1536.3953079957728,,False
2639,285900.0032052993,8142998.190925509,125,3.9124904,0.0,40,1706.3130594620543,,False
2640,180900.00320529932,8143998.190925509,354,3.936849,0.0,114,49.89824378589002,,False
2641,181900.00320529932,8143998.190925509,378,3.8595064,0.0,114,183.1228007999136,,False
2642,182900.00320529932,8143998.190925509,391,3.685306,0.0,114,524.2339377527908,,False
2643,183900.00320529932,8143998.190925509,397,4.2046185,0.0,114,946.3668421749903,,False
2644,184900.00320529932,8143998.190925509,397,4.2046185,0.0,114,1251.4838913078042,,False
2645,185900.00320529932,8143998.190925509,386,3.6971009,0.0,114,564.8162402868519,,False
2646,186900.00320529932,8143998.190925509,369,3.087359,0.0,114,348.1304085698903,,False
