ID,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster
4527,215063.5387,8512450.507,0,1245.109985,8.817011164,1,,,2873.467472,
4458,215063.5387,8508450.507,0,1298.47998,1.936702456,1,,,356.5045583,
4454,215063.5387,8504450.507,0,1225.939941,14.77336521,1,,,3710.732677,
4450,215063.5387,8500450.507,0,1070.630005,3.05191901,1,,,2020.083842,2
4446,215063.5387,8496450.507,267,1044.859985,3.501930059,5,,,570.5111838,2
4442,215063.5387,8492450.507,0,833.8179932,21.64616352,5,,,1889.898883,2
4438,215063.5387,8488450.507,0,1019.669983,12.04702927,1,,,4589.460351,2
4433,215063.5387,8484450.507,22,569.9110107,6.980735411,5,,,1344.356975,2
4368,215063.5387,8480450.507,26,535.4710083,1.094970305,1,,,511.0407117,2
4364,215063.5387,8476450.507,20,533.7089844,2.891082716,1,,,173.3017021,2
4360,215063.5387,8472450.507,11,512.0159912,2.642743745,1,,,2913.709628,2
4356,215063.5387,8468450.507,9,526.3569946,3.199125744,1,,,2384.281994,2
929,215063.5387,8464450.507,4,524.9439697,0.798422564,1,,,258.6957906,2
925,215063.5387,8460450.507,6,814.2119751,43.38464116,5,,,1422.161798,
921,215063.5387,8456450.507,0,757.1489868,14.7116041,5,,,4323.245081,
917,215063.5387,8452450.507,0,863.7280273,6.064210849,5,,,6230.855248,
894,215063.5387,8448450.507,0,1357.969971,8.494945746,5,,,6323.065968,
230,214894.8488,8445244.812,0,1196.930054,4.179544182,1,,,6973.013504,
6903,218935.0789,8547659.786,9,322.230011,3.763815709,1,,,11145.23133,9
6900,219063.5387,8544450.507,0,347.0220032,3.411327056,1,,,8058.734219,9
6878,219063.5387,8540450.507,0,346.0390015,2.493476629,1,,,4376.769975,9
6874,219063.5387,8536450.507,10,378.5469971,3.975180757,1,,,1827.963966,9
6870,219063.5387,8532450.507,6,486.6520081,13.94791294,1,,,463.2437209,9
4806,219063.5387,8528450.507,0,692.5839844,10.21412897,1,,,3834.89911,9
4802,219063.5387,8524450.507,0,1028.089966,15.77087285,6,,,5940.455539,9
4798,219063.5387,8520450.507,0,1121.150024,4.96259719,1,,,3835.081985,
4794,219063.5387,8516450.507,0,1178.51001,11.09238348,1,,,4132.560617,
4790,219063.5387,8512450.507,0,1202.01001,7.51400838,1,,,3859.913125,
4720,219063.5387,8508450.507,0,1258.27002,4.943863085,1,,,455.3016094,
4716,219063.5387,8504450.507,0,1133.719971,10.1226555,1,,,3135.944575,
4712,219063.5387,8500450.507,0,1115.47998,2.175486618,1,,,331.2656018,2
4708,219063.5387,8496450.507,0,1124.530029,8.715385919,5,,,3263.190175,2
4703,219063.5387,8492450.507,0,1274.109985,7.175971935,5,,,5429.271995,
4699,219063.5387,8488450.507,0,931.4379883,12.80333668,5,,,6361.217839,
4695,219063.5387,8484450.507,0,716.0960083,8.683329125,5,,,3660.095547,2
4625,219063.5387,8480450.507,20,554.2490234,1.718300407,1,,,2648.181498,2
4621,219063.5387,8476450.507,14,522.2369995,1.588786155,5,,,571.6841704,2
4617,219063.5387,8472450.507,0,564.5150146,12.01011627,1,,,240.4708947,2
4613,219063.5387,8468450.507,11,524.0510254,2.042349981,1,,,1391.256151,2
1005,219063.5387,8464450.507,3,519.5189819,2.301047554,1,,,736.9228102,2
1001,219063.5387,8460450.507,0,624.6719971,10.60522297,1,,,2816.069485,
997,219063.5387,8456450.507,0,611.0949707,6.156024157,1,,,6795.236622,
974,219063.5387,8452450.507,0,1287.310059,18.06885611,1,,,9786.053302,
970,219063.5387,8448450.507,0,1402.47998,15.50595148,1,,,10287.30228,
244,219088.3497,8445719.464,0,1286.910034,21.74490863,1,,,10785.04125,
6953,221588.1995,8547436.609,7,335.7000122,3.359843142,1,,,11743.19513,9
6951,221442.395,8544295.441,24,318.7229919,0.854911558,1,,,8895.530602,9
6946,222751.4253,8539846.97,66,324.8930054,1.950454095,1,,,6721.512344,9
6943,223063.5387,8536450.507,0,341.3129883,1.412664119,1,,,4792.222603,9
6939,223063.5387,8532450.507,9,410.1159973,1.03768801,1,,,1249.266076,9
5070,223063.5387,8528450.507,12,418.2210083,2.108489314,1,,,620.2019488,9
5066,223063.5387,8524450.507,18,488.8210144,5.078370412,5,,,2755.572526,9
5062,223063.5387,8520450.507,7,595.5780029,22.02023695,1,,,4758.978134,9
5058,223063.5387,8516450.507,0,1120.329956,11.98334642,5,,,5250.914461,
4988,223063.5387,8512450.507,0,1131.48999,3.003670582,5,,,1431.771033,
4984,223063.5387,8508450.507,0,1082.48999,4.184977097,5,,,61.67064696,
4979,223063.5387,8504450.507,0,1131.77002,5.222472813,1,,,193.6762257,
4975,223063.5387,8500450.507,0,1114.050049,11.45764128,5,,,2226.947164,
4971,223063.5387,8496450.507,0,1073.48999,2.225015157,1,,,3267.253715,
4967,223063.5387,8492450.507,0,1151.199951,4.713021878,1,,,3510.489937,
4963,223063.5387,8488450.507,0,1131.349976,12.38598545,1,,,3931.001021,2
4893,223063.5387,8484450.507,22,979.125,18.46254404,5,,,6186.812905,2
