ID,X,Y,Population,Elevation,Slope,Land_cover,River_flow,NAME,Road_dist
5897,236236.5472,8522220.47,0,369.4570007,1.761331602,1,,,1009.672095
5898,236203.0428,8523205.476,6,371.7009888,1.939788489,1,,,24.84155865
5899,236169.5447,8524190.48,0,375.7529907,2.71293322,5,,,824.5802739
5900,236136.0527,8525175.481,0,389.4710083,13.47257763,5,,,1736.122362
5901,236102.567,8526160.479,2,389.5329895,7.795177885,1,,,2685.54136
5902,236069.0874,8527145.475,4,373.3080139,5.802853649,1,,,3578.310476
5903,236035.6141,8528130.469,0,350.3089905,3.011730085,1,,,3778.083183
5904,236002.0385,8529115.347,0,341.0239868,1.479219875,1,,,4164.691279
5905,235833.1245,8530030.778,8,333.8099976,2.090011977,1,,,4794.045787
5906,235719.4437,8531139.983,4,348.9060059,4.682928036,5,,,5603.875501
5907,235704.0733,8531961.052,6,336.7279968,1.716400726,1,,,6219.591618
5908,239137.4256,8467088.563,0,844.3179932,14.51056372,1,,,65.14538028
5909,239103.5815,8468073.751,0,822.4160156,3.102377511,1,,,110.0998847
5910,239069.7435,8469058.935,0,807.2719727,2.006717016,5,,,301.5427616
5911,239035.9115,8470044.114,0,831.0339966,1.028441437,5,,,831.9960899
5912,239002.0857,8471029.29,0,816.5170288,2.908269276,1,,,1424.967022
5913,238968.2659,8472014.462,0,780.2750244,5.264407251,5,,,1998.895198
5914,238833.0479,8475955.111,5,774.4860229,2.562073758,1,,,231.502309
5915,238799.2586,8476940.263,3,760.1820068,1.676699293,1,,,280.9655378
5916,238765.4755,8477925.412,7,768.9130249,1.932336525,1,,,253.432904
5917,238731.6984,8478910.557,1,784.5419922,3.867852302,5,,,69.58352372
5918,238697.9274,8479895.698,0,759.5529785,1.402143372,5,,,43.02125379
5919,238664.1626,8480880.836,0,760.6870117,2.353224349,1,,,391.4770209
5920,238630.4038,8481865.97,1,770.4609985,3.192084731,1,,,906.3269423
5921,238596.6512,8482851.1,0,764.5390015,3.453608451,1,,,1536.055711
5922,238562.9046,8483836.226,0,754.2520142,2.279974617,1,,,2139.417546
5923,238529.1642,8484821.349,0,762.8079834,0.747212843,1,,,1542.442638
5924,238495.4299,8485806.468,0,784.5269775,4.052964038,1,,,832.027489
5925,238461.7017,8486791.584,0,779.7800293,5.485255539,1,,,393.826694
5926,238427.9797,8487776.696,0,815.4119873,3.435172801,1,,,39.43354885
5927,238394.2637,8488761.805,4,815.2360229,1.87192607,5,,,283.8273564
5928,238360.5539,8489746.91,0,836.28302,1.755332427,5,,,261.4634801
5929,238326.8502,8490732.011,0,1031.670044,24.28638123,5,,,359.5912432
5930,238293.1526,8491717.109,0,898.8649902,11.33708988,5,,,1117.604615
5931,238259.4611,8492702.204,0,901.5410156,9.2034591,5,,,2030.160008
5932,238225.7758,8493687.295,0,762.1610107,14.97273623,5,,,2975.798091
5933,238192.0966,8494672.383,0,851.4799805,13.8507676,5,,,3477.535463
5934,238158.4235,8495657.468,0,731.5529785,3.664305826,5,,,3261.93056
5935,238124.7566,8496642.549,0,695.822998,20.56691694,1,,,3306.503991
5936,238091.0958,8497627.627,0,723.8729858,24.19251418,1,,,3594.143689
5937,238057.4411,8498612.701,0,691.0759888,30.96967834,5,,,3717.874426
5938,238023.7926,8499597.773,0,740.6640015,31.83355874,1,,,3151.887709
5939,237990.1502,8500582.841,0,848.2910156,15.88164046,1,,,2668.231459
5940,237956.514,8501567.905,0,752.8339844,25.45553623,1,,,2251.318852
5941,237922.8838,8502552.967,0,643.5449829,26.20130748,5,,,1832.099052
5942,237889.2599,8503538.025,0,593.3010254,12.65990919,5,,,1313.777154
5943,237855.642,8504523.081,0,742.0969849,21.57734513,5,,,1245.753096
5944,237822.0304,8505508.133,0,752.4829712,10.62964835,5,,,1339.854103
5945,237788.4248,8506493.182,0,814.7349854,16.9941355,1,,,1487.551111
5946,237754.8255,8507478.228,0,684.78302,4.47679272,1,,,1160.550567
5947,237721.2322,8508463.271,0,654.1010132,9.46654946,1,,,638.6644298
5948,237687.6452,8509448.311,0,593.1760254,3.227448423,1,,,511.5059822
5949,237654.0643,8510433.348,0,553.5150146,3.761228965,1,,,57.79557184
5950,237620.4895,8511418.381,0,479.4970093,6.08272039,1,,,428.0438993
5951,237586.9209,8512403.412,0,517.2030029,4.424404263,1,,,334.5930994
5952,237553.3585,8513388.44,0,565.1879883,4.232032021,1,,,117.739625
5953,237519.8022,8514373.465,0,558.8259888,4.529463371,1,,,4.853581042
5954,237486.2521,8515358.488,0,585.6040039,25.69612457,1,,,212.8227378
5955,237452.7082,8516343.507,4,693.6329956,15.0128163,5,,,169.5326801
5956,237419.1704,8517328.524,0,750.7020264,7.693885422,5,,,564.0161202
5957,237385.6388,8518313.537,0,904.5139771,29.28353953,5,,,542.7189357
5958,237352.1134,8519298.548,0,654.2280273,26.80094504,5,,,202.227625
5959,237318.5941,8520283.556,0,608.6740112,2.376310632,1,,,121.0147782
5960,237285.081,8521268.562,0,620.9650269,6.444689856,1,,,157.8153964
5961,237251.5741,8522253.565,0,443.3460083,15.28987825,1,,,38.92731842
5962,237218.0734,8523238.565,17,358.3110046,0.9859867,1,,,208.915163
5963,237184.5789,8524223.562,11,351.5299988,1.622639613,5,,,549.7196666
5964,237151.0905,8525208.557,0,361.1789856,2.575929181,5,,,1361.469613
5965,237117.6083,8526193.549,0,361.5769958,2.073093545,1,,,2292.782255
5966,237084.1323,8527178.538,0,362.9370117,2.61710758,1,,,2552.967854
5967,237050.6625,8528163.525,0,339.2520142,2.196498858,1,,,2818.240107
5968,237030.0904,8529105.577,3,336.4450073,1.636908211,1,,,3282.50155
5969,237446.0691,8529710.813,0,340.29599,3.469026522,1,,,3378.902168
5970,240152.2031,8467122.008,0,834.8590088,6.259630234,1,,,83.21871707
5971,240118.364,8468107.19,0,817.8040161,7.267162831,1,,,602.8745463
5972,240084.531,8469092.367,0,798.3640137,1.331299184,5,,,1284.135158
5973,240050.7041,8470077.541,0,782.9719849,5.380976816,5,,,1643.99843
5974,240016.8832,8471062.71,0,774.3959961,3.286391141,1,,,2236.542348
5975,239983.0684,8472047.876,0,778.1389771,2.511397056,5,,,2226.805503
5976,239949.2596,8473033.038,0,815.5689697,1.963611436,5,,,1797.969844
5977,239915.4569,8474018.195,2,783.2280273,5.355914416,1,,,1004.519769
5978,239881.6603,8475003.349,0,820.5209961,3.176346959,1,,,277.6154198
5979,239847.8698,8475988.499,0,790.8179932,2.935269985,1,,,513.5753775
